原始数据											渲染后的数据
00010001-班级学员管理 							00000001-班级管理
00030001-就业班管理									00010001-班级学员管理
00030002-就业学员管理								00010002-班级学员就业管理
00000001-班级管理								00000002-教学业务管理
00020001-班级每日反馈								00020001-班级每日反馈
00020002-班级入学测评								00020002-班级入学测评
00010002-班级学员就业管理						        00020003-班级讲师评分
00000003-就业业务管理								00020004-班级授课视频
00020003-班级讲师评分								00020005-班级作息时间设置
00020004-班级授课视频							00000003-就业业务管理
00000002-教学业务管理								00030001-就业班管理
00020005-班级作息时间设置						        00030002-就业学员管理
00030003-学员面试记录								00030003-学员面试记录
